"iter" "lambda_hat" "median.lambda" "median.gamma" "median.omega1" "median.omega2" "median.p_det" "median.p_rec" "median.p_mor" "mean.lambda" "mean.gamma" "mean.omega1" "mean.omega2" "mean.p_det" "mean.p_rec" "mean.p_mor" "lambda" "gamma" "omega1" "omega2" "p_det" "p_rec" "p_mor"
1 30.8901740689661 32.7337746655052 4.87495252910148 0.0877132002023216 0.680265132004807 0.872438315869498 0.394063483342301 0.108099451228394 33.2178950209012 4.95822955579623 0.1018586182333 0.673545192502713 0.857877975722489 0.394525017172041 0.107285565130118 50 5 0.25 0.5 0.7 0.4 0.1
2 46.6547581497552 47.9999019010085 3.90483838836007 0.22459311444593 0.618887504264693 0.820953249472558 0.405144594945177 0.102014089164394 48.6023453402268 4.26462199593093 0.226573895480922 0.613992644600179 0.814493558792554 0.405098941415969 0.101477828264226 50 5 0.25 0.5 0.7 0.4 0.1
3 39.4274993445764 42.3134810415696 3.59947168486825 0.281568366179399 0.547486462503627 0.735114826329027 0.401941110273138 0.0946341032706623 42.9176341405775 3.74533864718514 0.28343869581222 0.536489567073586 0.735527245756945 0.402073444654009 0.0946083532969792 50 5 0.25 0.5 0.7 0.4 0.1
4 52.3969065077714 54.2791955512685 5.12631803784479 0.226005216082932 0.418508542665819 0.735630530790361 0.374519036538956 0.10911295501638 55.0364710236737 5.25156965218209 0.233976409238794 0.413024311781431 0.734776202757119 0.374655470360522 0.109027814405179 50 5 0.25 0.5 0.7 0.4 0.1
5 52.6628971744271 55.213479288054 6.10540428592672 0.152742937320596 0.485489108229331 0.723762578406839 0.400380187727712 0.0933811866532951 56.0157271690043 6.23805334271101 0.166208622931124 0.481783930425282 0.721570632055023 0.400225000726862 0.0932082989921664 50 5 0.25 0.5 0.7 0.4 0.1
6 41.9807318410544 42.3929642722457 5.01581869744494 0.0987531548181398 0.603352775429777 0.95967190643359 0.407642622746448 0.111091450576159 45.0317478948136 5.32077272686842 0.114094303443114 0.583628495350971 0.905177168989666 0.407897412411603 0.107345760270777 50 5 0.25 0.5 0.7 0.4 0.1
7 60.0862441927145 63.0415067727856 2.4252078980914 0.355680922938506 0.519725826638142 0.734675411463325 0.408409483593469 0.0981047178493345 63.4399125133378 2.51050413938174 0.354362052441074 0.510484670491481 0.740602122796613 0.408454747928739 0.0986519511614289 50 5 0.25 0.5 0.7 0.4 0.1
8 42.9516510607621 43.7571102681348 6.98542233964505 0.226662379740659 0.312130468701131 0.820908506591921 0.389115805179971 0.107737863795696 44.1714734976322 7.04507111476325 0.241161481843288 0.316476580313797 0.814869722947014 0.389361339504734 0.107454328292652 50 5 0.25 0.5 0.7 0.4 0.1
9 53.0822700581132 54.5336127557557 6.04094662052053 0.0818026346441464 0.616761311188322 0.68465167036907 0.39950484454389 0.0871299454346418 55.3939667699233 6.14455236554959 0.0981291356977351 0.613827095282111 0.687611889243634 0.399280370356379 0.0873461713318909 50 5 0.25 0.5 0.7 0.4 0.1
10 37.4499979246207 40.5145288395757 4.06279278031347 0.349679502496148 0.348177958975482 0.742431145564702 0.38982019756798 0.0999418643059818 40.8969900625682 4.13072424514752 0.345539575769399 0.343601803047668 0.747663592835395 0.389812462933551 0.100421043179894 50 5 0.25 0.5 0.7 0.4 0.1
11 57.5710367163735 59.1672277743547 8.58312465000948 0.108130013228645 0.549552946192998 0.640260296568778 0.415287944332591 0.0863882546804409 59.9057439371731 8.63031826130887 0.133424749302165 0.543913455449353 0.642684275120532 0.415334247868267 0.0866123550877331 50 5 0.25 0.5 0.7 0.4 0.1
12 44.234783431309 47.0015580352637 7.25904834663927 0.121047878262046 0.558420627453204 0.77716827688118 0.40464871462077 0.101614879140279 48.2565719251025 7.42464082823842 0.14287260408697 0.544590885112971 0.768625894886491 0.404572011700586 0.100703433274655 50 5 0.25 0.5 0.7 0.4 0.1
13 40.3187993316343 44.5430281814844 11.045403240567 0.213680863667177 0.187817016522838 0.629543618784739 0.412807245969229 0.0794876623232816 44.9715410743093 10.7600716662207 0.222374733734643 0.211462111664081 0.632459309868203 0.412955070331096 0.079661570405319 50 5 0.25 0.5 0.7 0.4 0.1
14 50.838245530157 52.8800284921256 4.10403860710685 0.294510569127885 0.454294907547172 0.861810308451919 0.404494766963835 0.118429764348638 53.326955738589 4.15009026218967 0.293167730651198 0.454970223146547 0.85565502008121 0.40482373039804 0.118046763919841 50 5 0.25 0.5 0.7 0.4 0.1
15 56.9981588042416 59.0364143333703 4.40459468994132 0.405087836745128 0.241062514612913 0.701219388483489 0.412943048605503 0.0965696382807236 59.0771253095757 4.66178867564231 0.403044572248604 0.253984523630611 0.710549267724524 0.412759124113409 0.0974717288732857 50 5 0.25 0.5 0.7 0.4 0.1
16 43.5348695075513 45.5119741575402 3.1338940513636 0.202616467048634 0.710198539343869 0.760593478960822 0.420727032248207 0.104807856729228 46.0324208280355 3.28588839898142 0.204584458778336 0.70538499858177 0.758013067990845 0.420841552423171 0.104731095190943 50 5 0.25 0.5 0.7 0.4 0.1
17 43.0044811954954 44.8007141807373 4.19851916839575 0.143314935751888 0.714815309996044 0.843774355867116 0.394207153405057 0.129219744295268 45.8401355256411 4.23692522330982 0.148710182505674 0.712133971085388 0.837122062613579 0.394398702775333 0.128332930762791 50 5 0.25 0.5 0.7 0.4 0.1
18 42.3266978862398 44.1444048707667 5.06136679053432 0.115343609927469 0.603008924287489 0.835853759098751 0.413575312286605 0.100626693607154 45.1414990329678 5.15697512018442 0.137447763998906 0.591780951751377 0.826901264399798 0.413329199542945 0.0997899473637325 50 5 0.25 0.5 0.7 0.4 0.1
19 48.866089127504 50.161268826553 4.34994749411345 0.170201456748516 0.494886009550312 0.736244661237431 0.391637614046376 0.0971894303075794 50.8044740807281 4.41192970457934 0.181528356309144 0.493851526730961 0.73670720621957 0.391886823654027 0.0971581900177469 50 5 0.25 0.5 0.7 0.4 0.1
20 46.4713515300578 52.2045415253073 5.82299395140915 0.161711796971283 0.548433849495472 0.567649634704489 0.406235822317083 0.0752682956815536 53.1387606767564 5.87773957316567 0.177880591560379 0.547470948910143 0.570243798114194 0.406367284704327 0.075360257860642 50 5 0.25 0.5 0.7 0.4 0.1
21 46.9735303162762 48.787887033087 5.46620632003708 0.0657063238776724 0.719252992955866 0.734992794774173 0.411500261313354 0.107526942968578 49.3991269752752 5.56074973581869 0.0851340967656633 0.717296070640899 0.734456187723362 0.411336265738851 0.107400058446386 50 5 0.25 0.5 0.7 0.4 0.1
22 39.7544716563803 41.7572006325489 3.8260646160007 0.314426287202236 0.475054247009952 0.809326493310168 0.415724922775439 0.109044199488437 42.3627510447853 4.32035313305192 0.311681345859895 0.46751639313368 0.804940895117248 0.415691743191057 0.108553622986471 50 5 0.25 0.5 0.7 0.4 0.1
23 45.2138628089494 47.5177464171278 5.77047450046192 0.156311260458848 0.458996238424236 0.772090347746798 0.386689171225164 0.103332281126123 47.8848082965963 5.83104591810111 0.171559504875763 0.454851535050905 0.774098867594925 0.386523727099196 0.103252441003755 50 5 0.25 0.5 0.7 0.4 0.1
24 42.6393675808034 45.4700693658948 8.47999182000676 0.108435183013965 0.323616588165158 0.666895730940613 0.395515651822277 0.0932600282516107 45.9049660332305 8.35557723086039 0.130334922939494 0.331329098142554 0.668396404941779 0.395601666919891 0.0933823237104561 50 5 0.25 0.5 0.7 0.4 0.1
25 47.5500477242025 51.4479522403577 7.42734756755502 0.128016399561819 0.552519956290501 0.702035609803385 0.428236571476756 0.0886891663337001 52.3096695367988 7.53659101214024 0.146939073604516 0.541645646754683 0.704520849154665 0.428327115632617 0.0887463464197075 50 5 0.25 0.5 0.7 0.4 0.1
26 42.5514027057534 44.2340490959451 3.21116324097033 0.215406237086756 0.611738461807913 0.790847725552224 0.395457018278102 0.110054448287548 44.6701321181303 3.35004968421851 0.215682570739411 0.612689277743611 0.787283094558723 0.395264194663595 0.109707562922353 50 5 0.25 0.5 0.7 0.4 0.1
27 43.8279691659296 46.1670628254694 3.55830869317669 0.267738278201854 0.560981609680622 0.793453503676103 0.416265390176335 0.0920796626614473 46.6790247732595 3.76080539767131 0.270844758763138 0.556538432993811 0.787168574235905 0.416043531754312 0.0917345758319861 50 5 0.25 0.5 0.7 0.4 0.1
28 38.779061426447 41.3985213010467 2.2525232630213 0.202361105933687 0.672370826365425 0.832115632085068 0.410444746663631 0.0963677263673576 42.5376567909381 2.55157865541829 0.217317850273531 0.64854260719867 0.825187583786549 0.410643276980886 0.0955416964669271 50 5 0.25 0.5 0.7 0.4 0.1
