Date,HA,NewCases,NewDeaths,NewRecoveries,BC_CDC_Reported_TotalCases,BC_CDC_Reported_TotalDeaths,BC_CDC_Reported_TotalRecoveries,Week,ActiveCases,BC_CDC_ReportedActiveCases,ThursdayReports,FridayReports,Notes
2020-03-26,Fraser,0,0,0,241,2,5,0,234,,1,0,
2020-03-26,Interior,0,0,0,62,0,9,0,53,,1,0,
2020-03-26,Vancouver Island,0,0,0,52,0,8,0,44,,1,0,
2020-03-26,Northern,0,0,0,11,0,5,0,6,,1,0,
2020-03-26,Vancouver Coastal,0,0,0,359,12,159,0,188,,1,0,
2020-04-02,Fraser,145,3,187,386,5,192,1,189,,1,0,
2020-04-02,Interior,59,0,20,121,0,29,1,92,,1,0,
2020-04-02,Vancouver Island,20,2,21,72,2,29,1,41,,1,0,
2020-04-02,Northern,6,0,2,17,0,7,1,10,,1,0,
2020-04-02,Vancouver Coastal,166,12,225,525,24,384,1,117,,1,0,
2020-04-09,Fraser,122,5,82,508,10,274,2,224,,1,0,
2020-04-09,Interior,9,0,31,130,0,60,2,70,,1,0,
2020-04-09,Vancouver Island,10,0,8,82,2,37,2,43,,1,0,
2020-04-09,Northern,7,0,5,24,0,12,2,12,,1,0,
2020-04-09,Vancouver Coastal,101,14,89,626,38,473,2,115,,1,0,
2020-04-16,Fraser,122,6,67,630,16,341,3,273,,1,0,
2020-04-16,Interior,19,1,31,149,1,91,3,57,,1,0,
2020-04-16,Vancouver Island,12,1,16,94,3,53,3,38,,1,0,
2020-04-16,Northern,8,0,13,32,0,25,3,7,,1,0,
2020-04-16,Vancouver Coastal,44,19,0,670,57,473,3,140,,1,0,
2020-04-23,Fraser,130,11,44,760,27,385,4,348,,1,0,
2020-04-23,Interior,7,0,8,156,1,99,4,56,,1,0,
2020-04-23,Vancouver Island,17,0,27,111,3,80,4,28,,1,0,
2020-04-23,Northern,10,0,8,42,0,33,4,9,,1,0,
2020-04-23,Vancouver Coastal,85,6,22,755,63,495,4,197,,1,0,
2020-04-30,Fraser,201,6,95,961,33,480,5,448,,1,0,
2020-04-30,Interior,14,1,47,170,2,146,5,22,,1,0,
2020-04-30,Vancouver Island,9,1,12,120,4,92,5,24,,1,0,
2020-04-30,Northern,4,0,8,46,0,41,5,5,,1,0,
2020-04-30,Vancouver Coastal,60,9,68,815,72,563,5,180,,1,0,
2020-05-07,Fraser,103,8,132,1064,41,612,6,411,,1,0,
2020-05-07,Interior,9,0,16,179,2,162,6,15,,1,0,
2020-05-07,Vancouver Island,6,1,17,126,5,109,6,12,,1,0,
2020-05-07,Northern,8,0,6,54,0,47,6,7,,1,0,
2020-05-07,Vancouver Coastal,50,6,19,865,78,582,6,205,,1,0,
2020-05-14,Fraser,85,7,235,1149,48,847,7,254,,1,0,
2020-05-14,Interior,2,0,13,181,2,175,7,4,,1,0,
2020-05-14,Vancouver Island,0,0,7,126,5,116,7,5,,1,0,
2020-05-14,Northern,4,0,6,58,0,53,7,5,,1,0,
2020-05-14,Vancouver Coastal,13,2,112,878,80,694,7,104,,1,0,
2020-05-21,Fraser,74,11,111,1223,59,958,8,206,,1,0,
2020-05-21,Interior,2,0,3,183,2,178,8,3,,1,0,
2020-05-21,Vancouver Island,0,0,4,126,5,120,8,1,,1,0,
2020-05-21,Northern,2,0,4,60,0,57,8,3,,1,0,
2020-05-21,Vancouver Coastal,9,6,13,887,86,707,8,94,,1,0,
