"WeekNum","Province","WeekStart","TestVol","nit","rit","dit","ait","Vaccine1Dose","Vaccine2Dose"
5,"Alberta",2020-04-23,29781,1764,643,21,2296,0,0
5,"British Columbia",2020-04-23,15049,292,226,19,638,0,0
5,"Canada",2020-04-23,183150,11407,6341,1022,25198,0,0
5,"Manitoba",2020-04-23,3252,16,59,0,82,0,0
5,"New Brunswick",2020-04-23,2083,0,10,0,14,0,0
5,"Newfoundland and Labrador",2020-04-23,2359,2,26,0,48,0,0
5,"Northwest Territories",2020-04-23,88,0,0,0,0,0,0
5,"Nova Scotia",2020-04-23,5426,163,199,16,453,0,0
5,"Nunavut",2020-04-23,65,0,0,0,0,0,0
5,"Ontario",2020-04-23,78870,3483,3391,337,5481,0,0
5,"Prince Edward Island",2020-04-23,528,1,0,0,2,0,0
5,"Quebec",2020-04-23,41766,5629,1757,627,16111,0,0
5,"Repatriated travellers",2020-04-23,0,0,0,0,0,0,0
5,"Saskatchewan",2020-04-23,3821,57,30,2,57,0,0
5,"Yukon",2020-04-23,70,0,0,0,3,0,0
6,"Alberta",2020-04-30,28092,798,1599,25,3105,0,0
6,"British Columbia",2020-04-30,17663,168,189,15,679,0,0
6,"Canada",2020-04-30,209725,11898,7844,1236,28623,0,0
6,"Manitoba",2020-04-30,3966,10,29,1,49,0,0
6,"New Brunswick",2020-04-30,2499,2,4,0,4,0,0
6,"Newfoundland and Labrador",2020-04-30,1833,1,19,0,30,0,0
6,"Northwest Territories",2020-04-30,125,0,0,0,0,0,0
6,"Nova Scotia",2020-04-30,5129,63,132,13,374,0,0
6,"Nunavut",2020-04-30,70,0,0,0,0,0,0
6,"Ontario",2020-04-30,99674,2994,3610,433,4895,0,0
6,"Prince Edward Island",2020-04-30,500,0,2,0,3,0,0
6,"Quebec",2020-04-30,45758,7733,2236,749,19380,0,0
6,"Repatriated travellers",2020-04-30,0,0,13,0,0,0,0
6,"Saskatchewan",2020-04-30,4289,129,21,0,88,0,0
6,"Yukon",2020-04-30,106,0,3,0,2,0,0
7,"Alberta",2020-05-07,24098,444,1524,8,2094,0,0
7,"British Columbia",2020-05-07,13214,121,365,8,650,0,0
7,"Canada",2020-05-07,215180,8781,6993,1072,31261,0,0
7,"Manitoba",2020-05-07,3707,6,9,0,33,0,0
7,"New Brunswick",2020-05-07,2643,0,0,0,2,0,0
7,"Newfoundland and Labrador",2020-05-07,1473,1,3,0,13,0,0
7,"Northwest Territories",2020-05-07,130,0,0,0,0,0,0
7,"Nova Scotia",2020-05-07,4471,26,209,10,255,0,0
7,"Nunavut",2020-05-07,135,0,0,0,0,0,0
7,"Ontario",2020-05-07,107207,2514,2623,336,4070,0,0
7,"Prince Edward Island",2020-05-07,715,0,1,0,1,0,0
7,"Quebec",2020-05-07,52541,5604,2186,710,23934,0,0
7,"Repatriated travellers",2020-05-07,0,0,0,0,0,0,0
7,"Saskatchewan",2020-05-07,4774,65,73,0,196,0,0
7,"Yukon",2020-05-07,71,0,0,0,0,0,0
8,"Alberta",2020-05-14,28037,309,508,8,1131,0,0
8,"British Columbia",2020-05-14,12161,91,142,17,372,0,0
8,"Canada",2020-05-14,219713,7847,5529,731,31919,0,0
8,"Manitoba",2020-05-14,4240,1,6,0,30,0,0
8,"New Brunswick",2020-05-14,2244,0,2,0,2,0,0
8,"Newfoundland and Labrador",2020-05-14,1123,0,3,0,9,0,0
8,"Northwest Territories",2020-05-14,89,0,0,0,0,0,0
8,"Nova Scotia",2020-05-14,3192,21,86,6,66,0,0
8,"Nunavut",2020-05-14,53,0,0,0,0,0,0
8,"Ontario",2020-05-14,99873,2538,2345,202,3574,0,0
8,"Prince Edward Island",2020-05-14,851,0,0,0,0,0,0
8,"Quebec",2020-05-14,63895,4844,2352,498,26544,0,0
8,"Repatriated travellers",2020-05-14,0,0,0,0,0,0,0
8,"Saskatchewan",2020-05-14,3911,43,85,0,178,0,0
8,"Yukon",2020-05-14,53,0,0,0,0,0,0
9,"Alberta",2020-05-21,23378,210,522,13,926,0,0
9,"British Columbia",2020-05-21,11357,83,143,13,307,0,0
9,"Canada",2020-05-21,192138,7396,5484,735,33434,0,0
9,"Manitoba",2020-05-21,3886,2,14,0,18,0,0
9,"New Brunswick",2020-05-21,2148,3,0,0,1,0,0
9,"Newfoundland and Labrador",2020-05-21,1090,0,5,0,4,0,0
9,"Northwest Territories",2020-05-21,77,0,0,0,0,0,0
9,"Nova Scotia",2020-05-21,3477,8,19,2,29,0,0
9,"Nunavut",2020-05-21,61,0,0,0,0,0,0
9,"Ontario",2020-05-21,69620,2709,2182,193,3675,0,0
9,"Prince Edward Island",2020-05-21,874,0,0,0,0,0,0
9,"Quebec",2020-05-21,73166,4364,2497,510,28368,0,0
9,"Repatriated travellers",2020-05-21,0,0,13,0,0,0,0
9,"Saskatchewan",2020-05-21,2974,17,89,4,106,0,0
9,"Yukon",2020-05-21,25,0,0,0,0,0,0
10,"Alberta",2020-05-28,23655,150,481,4,652,0,0
10,"British Columbia",2020-05-28,12006,73,99,4,241,0,0
10,"Canada",2020-05-28,253475,5566,4871,733,34772,0,0
10,"Manitoba",2020-05-28,5960,6,11,0,14,0,0
10,"New Brunswick",2020-05-28,8470,12,0,0,6,0,0
10,"Newfoundland and Labrador",2020-05-28,1379,1,1,0,3,0,0
10,"Northwest Territories",2020-05-28,114,0,0,0,0,0,0
10,"Nova Scotia",2020-05-28,5132,5,18,1,19,0,0
10,"Nunavut",2020-05-28,72,0,0,0,0,0,0
10,"Ontario",2020-05-28,118550,2564,2439,157,3994,0,0
10,"Prince Edward Island",2020-05-28,999,0,0,0,0,0,0
10,"Quebec",2020-05-28,73083,2745,1779,566,29782,0,0
10,"Repatriated travellers",2020-05-28,0,0,0,0,0,0,0
10,"Saskatchewan",2020-05-28,4013,10,43,1,61,0,0
10,"Yukon",2020-05-28,40,0,0,0,0,0,0
11,"Alberta",2020-06-04,36193,200,167,4,334,0,0
11,"British Columbia",2020-06-04,11574,57,85,1,201,0,0
11,"Canada",2020-06-04,259072,4040,5591,460,34340,0,0
11,"Manitoba",2020-06-04,5096,2,3,0,7,0,0
11,"New Brunswick",2020-06-04,3490,16,1,1,15,0,0
11,"Newfoundland and Labrador",2020-06-04,1756,0,0,0,2,0,0
11,"Northwest Territories",2020-06-04,93,0,0,0,0,0,0
11,"Nova Scotia",2020-06-04,4578,3,1,2,2,0,0
11,"Nunavut",2020-06-04,66,0,0,0,0,0,0
11,"Ontario",2020-06-04,132434,2294,2569,163,3828,0,0
11,"Prince Edward Island",2020-06-04,963,0,0,0,0,0,0
11,"Quebec",2020-06-04,58885,1457,2743,287,29922,0,0
11,"Repatriated travellers",2020-06-04,0,0,0,0,0,0,0
11,"Saskatchewan",2020-06-04,3918,11,22,2,29,0,0
11,"Yukon",2020-06-04,25,0,0,0,0,0,0
12,"Alberta",2020-06-11,48923,254,139,2,379,0,0
12,"British Columbia",2020-06-11,11228,95,94,1,183,0,0
12,"Canada",2020-06-11,297369,2728,5378,301,31868,0,0
12,"Manitoba",2020-06-11,4662,6,8,0,7,0,0
12,"New Brunswick",2020-06-11,3383,13,12,1,29,0,0
12,"Newfoundland and Labrador",2020-06-11,1912,0,1,0,2,0,0
12,"Northwest Territories",2020-06-11,102,0,0,0,0,0,0
12,"Nova Scotia",2020-06-11,4441,0,3,0,4,0,0
12,"Nunavut",2020-06-11,76,0,0,0,0,0,0
12,"Ontario",2020-06-11,166826,1403,2404,80,3162,0,0
12,"Prince Edward Island",2020-06-11,1256,0,0,0,0,0,0
12,"Quebec",2020-06-11,50325,922,2708,217,28081,0,0
12,"Repatriated travellers",2020-06-11,0,0,0,0,0,0,0
12,"Saskatchewan",2020-06-11,4204,35,9,0,21,0,0
12,"Yukon",2020-06-11,31,0,0,0,0,0,0
13,"Alberta",2020-06-18,53052,295,241,2,489,0,0
13,"British Columbia",2020-06-18,11852,74,94,3,190,0,0
13,"Canada",2020-06-18,301755,2389,3074,230,29409,0,0
